Topic	Words	Probabilities
Topic -1	('specie', 'population', 'ecology', 'effect', 'plant', 'model', 'community', 'individual', 'data', 'change')	(0.004415505323951936, 0.004035607203999992, 0.0038508672735616508, 0.0038206995625261675, 0.0037765460046050277, 0.0036818105509419225, 0.0035011311974240656, 0.0033340707969453914, 0.0032490927467383707, 0.003146540303687425)
Topic 0	('document', 'recherche', 'department', 'public', 'access', 'open', 'institute', 'universit', 'montpellier', 'umr')	(0.011196678244540414, 0.010004221077601134, 0.009550783687554958, 0.008883250109643883, 0.007096386318635939, 0.006698446771540625, 0.006678383962118732, 0.006306373684205278, 0.006266640812035903, 0.006221679380204688)
Topic 1	('forest', 'tree', 'treeline', 'stand', 'climate', 'carbon', 'height', 'change', 'canopy', 'model')	(0.024379740672440385, 0.016558545338405277, 0.015013074895340317, 0.0106433236913687, 0.0091318105912542, 0.008411525822430458, 0.007950411150644607, 0.0078692917463741, 0.0076592964690162585, 0.007651185688623236)
Topic 2	('bee', 'pollen', 'pollinator', 'floral', 'flower', 'plant', 'flowering', 'wild', 'pollination', 'honey')	(0.03946417707965616, 0.028498500209753433, 0.024330976321679642, 0.017829672846958824, 0.014481140058601303, 0.01381636202268794, 0.011343909855271395, 0.010647417538593818, 0.010508991489611314, 0.010431163120109386)
Topic 3	('crop', 'weed', 'field', 'landscape', 'seminatural', 'farming', 'yield', 'wheat', 'pollinator', 'service')	(0.036488166274485034, 0.02530127841282432, 0.01813965884333436, 0.01453719031849967, 0.013973377004199424, 0.01298417098492107, 0.01275850828649878, 0.01208501365459466, 0.011904736451927564, 0.010297562511483768)
Topic 4	('lizard', 'temperature', 'thermal', 'water', 'thermoregulation', 'body', 'ectotherm', 'shelter', 'dupou', 'galliard')	(0.03303534189772074, 0.0181350922028599, 0.01780705144429956, 0.01626783460931882, 0.015119220566937727, 0.013426399523219903, 0.011258350700310964, 0.010300306445491899, 0.010077387500403741, 0.009915878926461421)
Topic 5	('probability', 'survival', 'state', 'age', 'model', 'breeding', 'parameter', 'capture', 'individual', 'class')	(0.03185346091623515, 0.023308165213844875, 0.023142450759377615, 0.02187438525180895, 0.018300946541485966, 0.015482472589630241, 0.012995886122126729, 0.012921847733089305, 0.012710067117903878, 0.011320328044879235)
Topic 6	('heritage', 'people', 'cumming', 'cultural', 'elephant', 'cockle', 'resilience', 'stakeholder', 'nature', 'social')	(0.022561296818701768, 0.020324644835288896, 0.017243731641084267, 0.016681261025022476, 0.016602254149015293, 0.014206662910575462, 0.013559694516575939, 0.012613031162153367, 0.012594690883105478, 0.012394063590300578)
Topic 7	('specie', 'network', 'fgs', 'matrix', 'landscape', 'sdm', 'distance', 'niche', 'similarity', 'neutral')	(0.011459595439281623, 0.010635943930637265, 0.009456218236538309, 0.008995586699780676, 0.00895342936226485, 0.008187732607985863, 0.008056082952438658, 0.007995457562113235, 0.007911333703375004, 0.007877401802260561)
Topic 8	('grassland', 'grazing', 'soil', 'plant', 'digestibility', 'site', 'plot', 'specie', 'community', 'richness')	(0.019754157971026302, 0.016561666047567102, 0.012577884657328016, 0.010548352539063837, 0.009486834862637237, 0.008928225185435932, 0.00875586045522313, 0.008541438708510107, 0.008143101971652446, 0.008000280275152944)
Topic 9	('river', 'stream', 'catchment', 'freshwater', 'water', 'pond', 'network', 'aquatic', 'datry', 'ecosystem')	(0.026587093220771255, 0.02520038068234541, 0.015484839406801497, 0.013352648019500613, 0.012919841822999725, 0.012432896640341405, 0.009799095414061914, 0.009338243761037212, 0.009201508415563045, 0.009132593160614539)
Topic 10	('phylogenetic', 'phylogeny', 'trait', 'diversification', 'diversity', 'signal', 'pal', 'clade', 'tree', 'angiosperm')	(0.03782009403413296, 0.01591039708083336, 0.015088333089900227, 0.012776229340590799, 0.011824656518854726, 0.01148406365165135, 0.01069189604121338, 0.010633236418299979, 0.008377676258674544, 0.00796647499397571)
Topic 11	('fungal', 'soil', 'fungi', 'ecm', 'root', 'plant', 'community', 'mycorrhizal', 'enzymatic', 'ectomycorrhizal')	(0.03858685056935407, 0.027115491050309436, 0.0194661200097295, 0.018689673920152625, 0.017647879089440533, 0.017276695629905008, 0.01613669518744069, 0.014180918908501315, 0.012080817148266287, 0.012030412799303532)
Topic 12	('bird', 'cormorant', 'wintering', 'breeding', 'change', 'winter', 'migratory', 'lemming', 'arctic', 'climate')	(0.020952883794567487, 0.015246905946114948, 0.013583454485581601, 0.012817126415888691, 0.011214341842132755, 0.011190988511623768, 0.010844558789690428, 0.010799606667321078, 0.010705901316597504, 0.01035787196457498)
Topic 13	('selection', 'trait', 'morph', 'variance', 'genetic', 'phenotypic', 'phenotype', 'heritability', 'line', 'generation')	(0.018199408126061644, 0.015354778143812248, 0.015183785727006117, 0.014519238561293394, 0.013787161105035401, 0.013604307100637612, 0.012711553018256057, 0.012677241562220384, 0.010447832699207288, 0.010044024628461922)
Topic 14	('litter', 'leaf', 'decomposition', 'stream', 'detritivore', 'alder', 'fungal', 'breakdown', 'mixture', 'shredder')	(0.06471264438669563, 0.028736858839973657, 0.028191849527563737, 0.024539839585305215, 0.021032520231575473, 0.016312640040893434, 0.013959453201453755, 0.01322507928064922, 0.012474056033495001, 0.011970976935070416)
Topic 15	('temperature', 'thermal', 'energetic', 'consumer', 'metabolic', 'rate', 'warming', 'growth', 'ingestion', 'tercp')	(0.02800909018427313, 0.024784168211483517, 0.018595471463956865, 0.01829149536404034, 0.015346214250588793, 0.014687897093540628, 0.01395194621741397, 0.012538118829083676, 0.01116403418654467, 0.010751704507336193)
Topic 16	('invasion', 'invasive', 'native', 'alien', 'niche', 'range', 'europe', 'introduced', 'population', 'invaded')	(0.03805237225774941, 0.029881470142090607, 0.021848823839080156, 0.019808185175608794, 0.01170161165355109, 0.011624376463121311, 0.00958737588263248, 0.009564002854573563, 0.008959121838058092, 0.008748794211346859)
Topic 17	('genetic', 'mediterranean', 'haplotype', 'iberian', 'atlantic', 'sea', 'lineage', 'mitochondrial', 'population', 'marker')	(0.01923274981633143, 0.018158543659743735, 0.016421166586613488, 0.01621062305714165, 0.015238048756094908, 0.014456936729411306, 0.013488822627664702, 0.012903585096371704, 0.012280615089757078, 0.0115769487284482)
Topic 18	('parasite', 'host', 'virulence', 'infected', 'infection', 'paramecium', 'dispersal', 'transmission', 'uninfected', 'prevalence')	(0.05112675869608936, 0.041037821787818604, 0.03340447930456409, 0.03164314149662042, 0.02691877265872845, 0.025251875180612598, 0.019105109551398918, 0.016384762270352, 0.016153552077450818, 0.012921692256090953)
Topic 19	('coral', 'symbiodinium', 'reef', 'bleaching', 'voolstra', 'iron', 'bacterial', 'acropora', 'clade', 'symbiodiniaceae')	(0.08460751348422547, 0.026875543994602635, 0.02619776860567971, 0.01772683551229904, 0.01560592448870278, 0.014558891734798391, 0.013290932920257717, 0.013286045242651002, 0.013243388209877322, 0.01228568001864403)
Topic 20	('temperature', 'phytoplankton', 'nutrient', 'ml', 'thermal', 'concentration', 'cell', 'lo', 'biovolume', 'experiment')	(0.020541068610986556, 0.0199344334624749, 0.01467169565213316, 0.012070047826016339, 0.011540584123926051, 0.011140033958545537, 0.010091114622513607, 0.009494247395818018, 0.009303726348012709, 0.009206410204049206)
Topic 21	('locus', 'cluster', 'colony', 'allele', 'genetic', 'fst', 'population', 'snp', 'sshc', 'ssha')	(0.029684978783358178, 0.017735411482585645, 0.01727081280155235, 0.016971934333986572, 0.016244986082755333, 0.015180706064512065, 0.0144807193823228, 0.014345390585805107, 0.010923328226794758, 0.010850155388232316)
Topic 22	('bat', 'roost', 'solar', 'turbine', 'wind', 'pipistrellus', 'hedgerow', 'foraging', 'lek', 'flight')	(0.08347936900341175, 0.03115288666286105, 0.02938615076818131, 0.025885226653352054, 0.018684325773394753, 0.014936640209048517, 0.013946981282586908, 0.01351807607632975, 0.013031668888944347, 0.012798051184749679)
Topic 23	('sphagnum', 'peatland', 'peat', 'peatlands', 'microbial', 'moss', 'phototrophic', 'testate', 'amoeba', 'jassey')	(0.05961832562398551, 0.033974698728157726, 0.03283156359099293, 0.029952959709287772, 0.027164668276059876, 0.022769207072566203, 0.020549238273025173, 0.017455055196311155, 0.016833915733556516, 0.015176416102047173)
Topic 24	('equal', 'writing', 'editing', 'supporting', 'conceptualization', 'httpsorcidorg', 'review', 'investigation', 'methodology', 'lead')	(0.08099577327470979, 0.044021455448424195, 0.04046802869630314, 0.026566719023368573, 0.023147594380097673, 0.022085273973911863, 0.021484751289669944, 0.020788811292457684, 0.01947280268323924, 0.018873332211323195)
Topic 25	('sequence', 'primer', 'read', 'pcr', 'sequencing', 'dna', 'sample', 'min', 'bp', 'genome')	(0.02953317225547486, 0.023289469131310775, 0.020690379861650746, 0.01975952640029741, 0.015081229022416914, 0.015069785878027151, 0.014371756652415755, 0.012400350943131723, 0.011767066484074648, 0.011390852433019037)
Topic 26	('fish', 'lake', 'intestinal', 'tp', 'trophic', 'element', 'stomach', 'shoaling', 'zooplankton', 'medaka')	(0.0456644099176457, 0.02131195567417582, 0.02097802180965555, 0.019707986060746904, 0.01876091802618131, 0.018465004727578734, 0.018105819811265227, 0.01806282501105558, 0.016449703496610533, 0.016020842054035637)
Topic 27	('climatic', 'climate', 'precipitation', 'variable', 'csdms', 'temperature', 'translocation', 'site', 'snh', 'trend')	(0.020211334420262256, 0.016054364764961717, 0.015763093831705655, 0.01245262001006015, 0.012102854703197054, 0.01208372315158804, 0.011636117811575041, 0.010672280746697765, 0.009749788158951547, 0.009487934935683005)
Topic 28	('horn', 'gaillard', 'senescence', 'chamois', 'age', 'festabianchet', 'jm', 'antler', 'reproduction', 'deer')	(0.03201075829517729, 0.025318359901366515, 0.018536854485038095, 0.015229223007593351, 0.015060081610633314, 0.014782798238138101, 0.014778910022669225, 0.014424266857805847, 0.01407954360447978, 0.013139760368585007)
Topic 29	('excl', 'trait', 'sla', 'specie', 'height', 'wind', 'itv', 'leaf', 'model', 'environmental')	(0.02945214910647614, 0.02851003805799346, 0.019151933850008435, 0.012483641540134217, 0.011172096179169833, 0.011072708652089442, 0.011002891356548217, 0.010101009488396305, 0.009729632094860803, 0.009556068833918486)
Topic 30	('parasitoid', 'herbivore', 'caterpillar', 'plant', 'parasitoids', 'aphid', 'egg', 'arisanus', 'enemy', 'venom')	(0.025148575127184658, 0.023659952793596874, 0.021784413468915683, 0.019691690309656062, 0.01848119670318197, 0.01833445702518346, 0.018333494238588037, 0.018116074624743284, 0.017118187967816608, 0.01606736359075029)
Topic 31	('cat', 'deer', 'roe', 'home', 'personality', 'owner', 'animal', 'hunting', 'range', 'movement')	(0.04455291980512337, 0.030196571592411618, 0.028204320225340963, 0.027416476324440477, 0.019165048730630085, 0.012921306680980765, 0.011173668670150358, 0.010622355684092505, 0.010459606780431997, 0.010368688812578405)
Topic 32	('breeding', 'brood', 'prospecting', 'chick', 'nest', 'gls', 'double', 'female', 'trip', 'gull')	(0.034362294213624224, 0.02693443533369074, 0.02272405421287512, 0.020758943290860154, 0.019752452264457463, 0.016064580380896944, 0.012135255536942655, 0.011852516767927595, 0.011617686237513834, 0.011591385201467415)
Topic 33	('perch', 'fish', 'lake', 'pike', 'fishery', 'yoy', 'annecy', 'perca', 'bourget', 'windermere')	(0.029983273779507845, 0.02944580700333419, 0.024903844490462047, 0.01618598307604495, 0.012101982467768023, 0.010905082115167077, 0.00939953907312572, 0.008201514033011281, 0.008036154147005094, 0.0078249626852794)
Topic 34	('leaf', 'trait', 'spine', 'defence', 'tlp', 'lma', 'sla', 'spiny', 'root', 'concentration')	(0.0484955456001955, 0.024430205021861787, 0.02074656473945724, 0.014944833950456562, 0.013652819305339303, 0.012170003524855215, 0.011705373723660845, 0.011489450129744809, 0.010589482401072511, 0.008769508985582002)
Topic 35	('andean', 'andes', 'bataua', 'diversification', 'pteronymia', 'genetic', 'speciation', 'oleria', 'oleriina', 'dircennina')	(0.037885900984575595, 0.02714715579922793, 0.019186460773258085, 0.018646350887355542, 0.017779829003096947, 0.014264803134887776, 0.014104723782428647, 0.013542060048455054, 0.013510195851896969, 0.013472661716157177)
Topic 36	('occupancy', 'detection', 'probability', 'observer', 'count', 'counting', 'model', 'singlevisit', 'detectability', 'sampling')	(0.045410334234473375, 0.03917126355145652, 0.02363001139042732, 0.01917069007639938, 0.018339642943134695, 0.01777092866816858, 0.017273746399871802, 0.01283299893933615, 0.012246700466342736, 0.0122459773620277)
Topic 37	('shark', 'na', 'bull', 'pacific', 'carcharhinus', 'hammerhead', 'tiger', 'hg', 'pirog', 'western')	(0.08452642702852492, 0.0292472436748728, 0.024172898678096917, 0.022002487907604985, 0.017116239078242508, 0.017048299179356057, 0.01557491513667167, 0.014723492831204487, 0.014581090966878683, 0.012787617654722238)
Topic 38	('forest', 'functional', 'ancient', 'dark', 'recent', 'diversity', 'woodland', 'disturbance', 'specie', 'redundancy')	(0.029466236679941873, 0.025592107993889668, 0.017490840704259807, 0.015566109597806336, 0.014316605647072603, 0.013767769715472233, 0.012431668569178019, 0.011295484068307875, 0.010879085748489784, 0.01087651962147532)
Topic 39	('stability', 'biomass', 'perturbation', 'recovery', 'system', 'ecosystem', 'disturbance', 'web', 'regime', 'bef')	(0.03920816695829866, 0.021509049661163744, 0.020319780449008375, 0.018709218328055773, 0.017731318934225866, 0.01487569080796918, 0.01481634915050095, 0.013023505768104618, 0.012125977864550724, 0.011755609149713988)
Topic 40	('fire', 'fwi', 're', 'burnt', 'escaped', 'serotiny', 'risk', 'exposure', 'ignition', 'ha')	(0.1258350400096821, 0.028601486538753572, 0.02522844885055113, 0.02041326194955779, 0.01976783084957277, 0.018308352363320755, 0.014857394527409152, 0.013835920550006089, 0.013672228116444661, 0.01297149995714407)
Topic 41	('nest', 'tit', 'clutch', 'cavity', 'laying', 'great', 'box', 'size', 'blue', 'extra')	(0.09106503023631399, 0.07101322003413445, 0.057846675112081365, 0.04538767956899691, 0.038667548439014265, 0.03815725188689056, 0.032995796073651, 0.03257777534069119, 0.03250658214683522, 0.026229940895780988)
Topic 42	('seed', 'germination', 'dormancy', 'seedling', 'ecotype', 'trait', 'retention', 'deer', 'provenance', 'garden')	(0.0702594035084869, 0.040992675050524036, 0.03426615108580917, 0.020316165265912713, 0.011444027705745256, 0.010779422183532948, 0.010680212319672259, 0.010315118924252513, 0.010274223570568519, 0.009010614550505265)
Topic 43	('microbial', 'metabolic', 'reaction', 'niche', 'flux', 'community', 'functional', 'http', 'microbiology', 'organism')	(0.034767379368486694, 0.02714607795996135, 0.01931388101800775, 0.016478523285987697, 0.013522263976088278, 0.013170469559685252, 0.013053671486077096, 0.011270758389692931, 0.011220781105185705, 0.010535227563882544)
Topic 44	('isolates', 'pst', 'virulence', 'infestans', 'nematode', 'virulent', 'potato', 'avirulent', 'striiformis', 'cyst')	(0.05132068512746108, 0.04741635220735852, 0.027667352209471113, 0.027450174942803617, 0.026296876753549175, 0.0250663030879862, 0.02419498901594831, 0.022353927525299473, 0.02175712789504781, 0.021094078168694432)
Topic 45	('stocking', 'salmon', 'dph', 'fish', 'genetic', 'perrier', 'sex', 'bass', 'atlantic', 'stocked')	(0.03539586551412805, 0.023268793412863257, 0.0230034631931167, 0.020768475084453474, 0.018251398079773752, 0.013533116982026926, 0.013115116637939309, 0.012722473189253684, 0.012542047853866123, 0.012320099151560062)
Topic 46	('rattus', 'rodent', 'apc', 'musculus', 'rat', 'session', 'norvegicus', 'trapping', 'locality', 'invasion')	(0.0440729094164799, 0.04403497779512914, 0.0430270829601804, 0.027580233006029888, 0.024623179937374014, 0.020830252032830603, 0.01880182881912404, 0.018507012105862947, 0.01832917611994207, 0.01659206964138276)
Topic 47	('data', 'conr', 'area', 'metadata', 'log', 'format', 'lc', 'database', 'spibirds', 'sex')	(0.03265080208389255, 0.018091746480150044, 0.0170247584353407, 0.016642678834022016, 0.01537022564715078, 0.014487659639679178, 0.014111227606330774, 0.013355506373988793, 0.012738894193691477, 0.012503848901862609)
Topic 48	('trait', 'missing', 'imputation', 'functional', 'elbowauc', 'slope', 'skr', 'scenario', 'index', 'dimensionality')	(0.039434348633184, 0.035527566055050204, 0.0255753941464261, 0.022002970897185625, 0.017241557208450838, 0.01462499598618115, 0.014250015173029996, 0.01243193898979981, 0.01204281169330597, 0.011906507031742421)
Topic 49	('edna', 'metabarcoding', 'dna', 'depth', 'marine', 'fish', 'primer', 'biodiversity', 'mifish', 'reef')	(0.05091423314174165, 0.025576482705151362, 0.02386094686947208, 0.015569461243766429, 0.015501797540497417, 0.014796559545743425, 0.013793605175438933, 0.01127298505730078, 0.010668339627501286, 0.010144400596990916)
Topic 50	('movement', 'sensor', 'segment', 'data', 'residue', 'earwig', 'trajectory', 'animal', 'camera', 'video')	(0.03832736298417042, 0.023962877822890288, 0.01714479156302554, 0.01614758461644929, 0.01577988805165806, 0.015125324835312363, 0.015122442423787347, 0.014821724599783075, 0.014759983816850529, 0.014401624912941453)
Topic 51	('pco', 'irradiance', 'calcication', 'photosynthesis', 'light', 'algae', 'coralline', 'ge', 'calcification', 'seawater')	(0.04103131765371515, 0.029418368710155286, 0.026850743803510935, 0.024528326840687578, 0.023010193472789795, 0.022813360596078452, 0.022296309679177735, 0.02047563629422673, 0.019464786136706266, 0.019284059779298788)
Topic 52	('parasite', 'host', 'plasmodium', 'leucocytozoon', 'malaria', 'blood', 'infection', 'lineage', 'hepatocystis', 'haemosporidian')	(0.053331104678921167, 0.026675884639075182, 0.024009978106583632, 0.02386763027852322, 0.019794175300243223, 0.01831419248321508, 0.01820745560081766, 0.01745909201922301, 0.016705004431116062, 0.016665861254909164)
Topic 53	('dive', 'seal', 'diving', 'foraging', 'trip', 'weddell', 'duration', 'ddu', 'prey', 'ice')	(0.09457042933978514, 0.04147601264441882, 0.03436206984957156, 0.030590951048072874, 0.024366925248161315, 0.02359282769331974, 0.022903220492113123, 0.019752376722504177, 0.019286538918078307, 0.018455192168082328)
Topic 54	('molecular', 'marine', 'genetic', 'genetics', 'biology', 'sea', 'http', 'mediterranean', 'ecology', 'evolution')	(0.030465865928136607, 0.020788374959855617, 0.017022416300360877, 0.016461840674663643, 0.013527151279388652, 0.012390946182611124, 0.012361035592033342, 0.012104769027902132, 0.011161225136959668, 0.010364349331848788)
Topic 55	('closure', 'fishery', 'fishing', 'catch', 'stock', 'periodic', 'connectivity', 'spawning', 'balearic', 'management')	(0.044981124781501784, 0.03620383618899034, 0.03272846374448225, 0.030173826538317586, 0.02871835757272351, 0.02331439238570417, 0.020524280230975647, 0.01945777837492317, 0.017202636143623933, 0.016268773597501028)
Topic 56	('egg', 'temperature', 'parasitoid', 'stage', 'mine', 'thermal', 'host', 'heat', 'tolerance', 'microclimate')	(0.05616008765024464, 0.03265452768846006, 0.023841196604312626, 0.017877738060849597, 0.017857828449445407, 0.017485947944527777, 0.017333801817537242, 0.016060062279225663, 0.015790191495916383, 0.015704522644647063)
Topic 57	('telomere', 'troc', 'chick', 'length', 'lifespan', 'body', 'life', 'tl', 'criscuolo', 'pc')	(0.11511398892935433, 0.03321275977492049, 0.03201804060236896, 0.03056071834514424, 0.02474564089124726, 0.023829434089839095, 0.022188702583939884, 0.01695441025840714, 0.01689710620669675, 0.016544326292694544)
Topic 58	('pesticide', 'substance', 'fauna', 'insecticide', 'soil', 'herbicide', 'cognitive', 'pelosi', 'fungicide', 'study')	(0.07323632213729117, 0.02335483377725793, 0.017718345070592577, 0.016755760367328325, 0.016362944128691034, 0.016028991530243637, 0.014401350475380971, 0.01430629335662689, 0.014198383136620616, 0.01296004713672496)
Topic 59	('lidar', 'forest', 'sensing', 'remote', 'image', 'canopy', 'cover', 'agb', 'uav', 'degradation')	(0.04443755900822382, 0.03601604859287807, 0.020700608931188077, 0.01764588665176907, 0.017601131065230338, 0.01706796574946871, 0.015762146442181064, 0.015140922943500354, 0.013747330777157205, 0.013541378719151394)
Topic 60	('snake', 'teeth', 'tooth', 'dental', 'shape', 'pmm', 'mmc', 'prey', 'head', 'dentition')	(0.05346324738446223, 0.04533639230748821, 0.03576356431918348, 0.03411549549686296, 0.030273263966135697, 0.02528279943374024, 0.02417499625610471, 0.023263378448899266, 0.021713596470452293, 0.016911898147355584)
